"country_year";"alpha_3";"year";"political_stability";"population_total";"population_rural";"population_urban";"safe_drinking_water_total";"basic_drinking_water_total";"safe_drinking_water_rural";"basic_drinking_water_rural";"safe_drinking_water_urban";"basic_drinking_water_urban";"unknown_drinking_water_total";"unknown_drinking_water_rural";"unknown_drinking_water_urban"
"ABW_2000";"ABW";2000;NA;90853;48409;42444;NA;NA;NA;NA;NA;NA;90853;48409;42444
"ABW_2001";"ABW";2001;NA;92898;49850;43048;NA;NA;NA;NA;NA;NA;92898;49850;43048
"ABW_2002";"ABW";2002;NA;94992;51322;43670;NA;NA;NA;NA;NA;NA;94992;51322;43670
"ABW_2003";"ABW";2003;NA;97017;52771;44246;NA;NA;NA;NA;NA;NA;97017;52771;44246
"ABW_2004";"ABW";2004;NA;98737;54068;44669;NA;NA;NA;NA;NA;NA;98737;54068;44669
"ABW_2005";"ABW";2005;NA;100031;55142;44889;NA;NA;NA;NA;NA;NA;100031;55142;44889
"ABW_2006";"ABW";2006;NA;100834;55952;44882;NA;NA;NA;NA;NA;NA;100834;55952;44882
"ABW_2007";"ABW";2007;NA;101222;56536;44686;NA;NA;NA;NA;NA;NA;101222;56536;44686
"ABW_2008";"ABW";2008;NA;101358;56981;44377;NA;NA;NA;NA;NA;NA;101358;56981;44377
"ABW_2009";"ABW";2009;NA;101455;57402;44053;NA;NA;NA;NA;NA;NA;101455;57402;44053
"ABW_2010";"ABW";2010;NA;101669;57891;43778;NA;NA;NA;NA;NA;NA;101669;57891;43778
"ABW_2011";"ABW";2011;NA;102046;58227;43819;NA;NA;NA;NA;NA;NA;102046;58227;43819
"ABW_2012";"ABW";2012;NA;102560;58503;44057;NA;NA;NA;NA;NA;NA;102560;58503;44057
"ABW_2013";"ABW";2013;NA;103159;58810;44349;NA;NA;NA;NA;NA;NA;103159;58810;44349
"ABW_2014";"ABW";2014;NA;103774;59109;44665;NA;NA;NA;NA;NA;NA;103774;59109;44665
